,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
176,2021,Mid,Full Time,Data Scientist,58000,MXN,2859,MX,On-site,MX,S
238,2021,Entry,Full Time,Data Scientist,4000,USD,4000,VN,On-site,VN,M
185,2021,Mid,Full Time,Data Engineer,4000,USD,4000,IR,Fully Remote,IR,M
77,2021,Mid,Part Time,3D Computer Vision Researcher,400000,INR,5409,IN,Partially Remote,IN,M
179,2021,Mid,Full Time,Data Scientist,420000,INR,5679,IN,Fully Remote,US,S
18,2020,Entry,Full Time,Data Science Consultant,423000,INR,5707,IN,Partially Remote,IN,M
213,2021,Entry,Full Time,Big Data Engineer,435000,INR,5882,IN,On-site,CH,L
50,2020,Entry,Full Time,Data Analyst,450000,INR,6072,IN,On-site,IN,S
21,2020,Mid,Full Time,Product Data Analyst,450000,INR,6072,IN,Fully Remote,IN,L
15,2020,Mid,Full Time,Data Analyst,8000,USD,8000,PK,Partially Remote,PK,L
196,2021,Entry,Full Time,BI Data Analyst,9272,USD,9272,KE,Fully Remote,KE,S
127,2021,Mid,Full Time,Data Scientist,700000,INR,9466,IN,On-site,IN,S
521,2022,Entry,Full Time,Computer Vision Engineer,10000,USD,10000,PT,Fully Remote,LU,M
38,2020,Entry,Full Time,Data Analyst,10000,USD,10000,NG,Fully Remote,NG,S
124,2021,Entry,Part Time,Data Analyst,8760,EUR,10354,ES,Partially Remote,ES,M
96,2021,Entry,Part Time,AI Scientist,12000,USD,12000,BR,Fully Remote,US,S
184,2021,Mid,Freelance,Machine Learning Scientist,12000,USD,12000,PK,Partially Remote,PK,M
113,2021,Entry,Part Time,AI Scientist,12000,USD,12000,PK,Fully Remote,US,M
247,2021,Mid,Full Time,Data Engineer,108000,TRY,12103,TR,On-site,TR,M
205,2021,Mid,Full Time,Data Scientist,69600,BRL,12901,BR,On-site,BR,S
153,2021,Entry,Full Time,Data Scientist,13400,USD,13400,UA,Fully Remote,UA,L
45,2020,Entry,Part Time,ML Engineer,14000,EUR,15966,DE,Fully Remote,DE,S
230,2021,Entry,Full Time,Big Data Engineer,1200000,INR,16228,IN,Fully Remote,IN,L
262,2021,Mid,Full Time,Data Scientist,1250000,INR,16904,IN,Fully Remote,IN,S
192,2021,Mid,Full Time,Big Data Engineer,18000,USD,18000,MD,On-site,MD,S
244,2021,Entry,Full Time,AI Scientist,1335000,INR,18053,IN,Fully Remote,AS,S
463,2022,Entry,Full Time,Data Scientist,1400000,INR,18442,IN,Fully Remote,IN,M
458,2022,Mid,Full Time,Business Data Analyst,1400000,INR,18442,IN,Fully Remote,IN,M
271,2021,Senior,Full Time,Computer Vision Engineer,102000,BRL,18907,BR,On-site,BR,M
92,2021,Mid,Full Time,Lead Data Analyst,1450000,INR,19609,IN,Fully Remote,IN,L
514,2022,Entry,Full Time,Data Analytics Engineer,20000,USD,20000,PK,On-site,PK,M
3,2020,Mid,Full Time,Product Data Analyst,20000,USD,20000,HN,On-site,HN,S
522,2022,Mid,Full Time,Data Analyst,20000,USD,20000,GR,Fully Remote,GR,S
208,2021,Mid,Freelance,Data Engineer,20000,USD,20000,IT,On-site,US,L
128,2021,Entry,Full Time,Machine Learning Engineer,20000,USD,20000,IN,Fully Remote,IN,S
278,2021,Senior,Full Time,Data Scientist,180000,TRY,20171,TR,Partially Remote,TR,L
239,2021,Entry,Full Time,Data Engineer,1600000,INR,21637,IN,Partially Remote,IN,M
62,2020,Entry,Part Time,Data Scientist,19000,EUR,21669,IT,Partially Remote,IT,S
191,2021,Entry,Full Time,Machine Learning Engineer,21844,USD,21844,CO,Partially Remote,CO,M
449,2022,Entry,Full Time,ML Engineer,20000,EUR,21983,PT,Fully Remote,PT,L
180,2021,Mid,Full Time,Big Data Engineer,1672000,INR,22611,IN,On-site,IN,L
133,2021,Senior,Full Time,Computer Vision Engineer,24000,USD,24000,BR,Fully Remote,BR,M
197,2021,Senior,Full Time,Machine Learning Engineer,1799997,INR,24342,IN,Fully Remote,IN,L
214,2021,Entry,Full Time,Machine Learning Engineer,21000,EUR,24823,DE,Partially Remote,DE,M
210,2021,Mid,Full Time,Machine Learning Engineer,21000,EUR,24823,SI,Partially Remote,SI,L
579,2022,Senior,Full Time,Data Engineer,25000,USD,25000,US,Fully Remote,US,M
264,2021,Mid,Full Time,Data Scientist,21600,EUR,25532,RS,Fully Remote,DE,S
182,2021,Mid,Full Time,Data Engineer,22000,EUR,26005,RO,On-site,US,L
268,2021,Mid,Full Time,Data Engineer,250000,TRY,28016,TR,Fully Remote,TR,M
162,2021,Mid,Full Time,Data Engineer,24000,EUR,28369,MT,Partially Remote,MT,L
253,2021,Entry,Full Time,Data Scientist,2100000,INR,28399,IN,Fully Remote,IN,M
85,2021,Mid,Full Time,Data Engineer,110000,PLN,28476,PL,Fully Remote,PL,L
216,2021,Entry,Part Time,Computer Vision Engineer,180000,DKK,28609,DK,Partially Remote,DK,S
94,2021,Entry,Full Time,Data Scientist,2200000,INR,29751,IN,Partially Remote,IN,L
109,2021,Entry,Full Time,Data Engineer,2250000,INR,30428,IN,Fully Remote,IN,L
459,2022,Mid,Full Time,Data Scientist,2400000,INR,31615,IN,Fully Remote,IN,L
489,2022,Entry,Contract,Applied Machine Learning Scientist,29000,EUR,31875,TN,Fully Remote,CZ,M
431,2022,Mid,Full Time,Data Analyst,30000,EUR,32974,ES,Fully Remote,ES,M
501,2022,Mid,Full Time,Head of Data,30000,EUR,32974,EE,Fully Remote,EE,S
441,2022,Mid,Full Time,Data Analyst,30000,EUR,32974,GR,Fully Remote,GR,M
27,2020,Senior,Full Time,Data Engineer,720000,MXN,33511,MX,On-site,MX,S
222,2021,Mid,Full Time,Data Scientist,2500000,INR,33808,IN,On-site,IN,M
492,2022,Mid,Full Time,Data Scientist,150000,PLN,35590,PL,Fully Remote,PL,L
7,2020,Mid,Full Time,Data Scientist,11000000,HUF,35735,HU,Partially Remote,HU,L
102,2021,Mid,Full Time,BI Data Analyst,11000000,HUF,36259,HU,Partially Remote,US,L
246,2021,Entry,Full Time,Data Scientist,31000,EUR,36643,FR,Partially Remote,FR,L
455,2022,Mid,Full Time,NLP Engineer,240000,CNY,37236,US,Partially Remote,US,L
